code,nom,prenom,date de naissance,groupe,section,cycle,filière,année,année universitaire
232338328108,ABABOU,Hiba,2005-07-15,3,2,master,Informatique,1,23/24
232336245003,ABAIDIA,Nour el issra,2005-03-22,2,1,licence,Mathématiques,1,23/24
242434450214,ABBABSSA,Radhoua,2005-11-08,1,2,ingénieur,Mathématiques,1,23/24
242432617718,ABBADENI,Romaissa,2005-05-30,2,2,master,Informatique,1,23/24
242433372020,ABBOU,Abderrahim,2005-09-14,4,1,licence,Informatique,1,23/24
242437108107,ABD KADER MAROUF,Mohamed,2005-01-25,3,2,ingénieur,Mathématiques,1,23/24
242432561215,ABDAT,Rahil,2005-12-05,4,1,licence,Informatique,1,23/24
242435146314,ABDELAZIZ,Mouatez Tadj Eddine,2005-08-19,3,2,licence,Informatique,1,23/24
394742162324,ABDESSETTAR,Yacine,2005-04-10,4,1,licence,Mathématiques,1,23/24
242435436608,ABSA,Rima,2005-10-31,3,2,ingénieur,Informatique,1,23/24
242435145912,ACHI,Lamisse,2005-06-12,2,1,licence,Mathématiques,1,23/24
232332159714,ACHOUR,Bassma,2005-02-18,4,2,ingénieur,Informatique,1,23/24
242435241412,ADIAL,Isra maram,2005-07-28,1,1,licence,Mathématiques,1,23/24
242438089801,ADJILA,Ibissam,2005-11-21,3,1,master,Informatique,1,23/24
232334093506,ADOUM,Tasnime Djihane,2005-09-03,3,1,licence,Mathématiques,1,23/24
222236290820,AFFIFI,Youmna,2005-01-14,4,2,master,Informatique,1,23/24
242432214714,AGHERBI,Lamis Fatima,2005-05-07,1,1,master,Mathématiques,1,23/24
242432596807,AHMED BOUCHAREB,Aya,2005-12-20,4,2,ingénieur,Mathématiques,1,23/24
332407162324,AISSOU,Imane,2005-04-02,3,2,ingénieur,Mathématiques,1,23/24
242431085409,AIT BOUDJEMA,Nacer,2005-08-25,4,1,licence,Informatique,1,23/24
